GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
-1483337579,SushiGo,3,GAME_OVER,98,0,4,172,GroupZOSLAPlayer,24.0,39.0,26.0,57.0,random,mcts,random,4,GroupZOSLAPlayer,4,2,2,3,3,1,random,1,mcts,random,random,GroupZOSLAPlayer,random,mcts,2
554117120,SushiGo,3,GAME_OVER,97,0,4,173,random,31.0,28.0,40.0,40.0,mcts,mcts,mcts,3,random,3,4,4,2,2,1,mcts,1,mcts,mcts,mcts,random,mcts,mcts,2
1447091856,SushiGo,3,GAME_OVER,100,0,4,174,GroupZOSLAPlayer,18.0,43.0,41.0,21.0,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,4,GroupZOSLAPlayer,4,1,1,2,2,3,GroupZOSLAPlayer,3,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,0
-553741966,SushiGo,3,GAME_OVER,96,0,4,175,GroupZOSLAPlayer,26.0,33.0,29.0,21.0,random,random,random,3,GroupZOSLAPlayer,3,1,1,2,2,4,random,4,random,random,random,GroupZOSLAPlayer,random,random,0
-1292333361,SushiGo,3,GAME_OVER,98,0,4,176,random,22.0,31.0,22.0,34.0,GroupZOSLAPlayer,GroupZOSLAPlayer,random,4,random,4,2,2,3,3,1,GroupZOSLAPlayer,1,GroupZOSLAPlayer,random,GroupZOSLAPlayer,random,random,GroupZOSLAPlayer,2
55774683,SushiGo,3,GAME_OVER,101,0,4,177,GroupZOSLAPlayer,23.0,34.0,24.0,44.0,random,mcts,random,4,GroupZOSLAPlayer,4,2,2,3,3,1,random,1,mcts,random,random,GroupZOSLAPlayer,random,mcts,2
33780075,SushiGo,3,GAME_OVER,100,0,4,178,mcts,42.0,53.0,22.0,42.0,mcts,mcts,GroupZOSLAPlayer,3,mcts,3,1,1,4,4,2,mcts,2,mcts,GroupZOSLAPlayer,mcts,mcts,GroupZOSLAPlayer,mcts,0
-1461249056,SushiGo,3,GAME_OVER,99,0,4,179,random,13.0,31.0,53.0,27.0,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,4,random,4,2,2,1,1,3,GroupZOSLAPlayer,3,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,random,mcts,GroupZOSLAPlayer,3
220459629,SushiGo,3,GAME_OVER,97,0,4,180,random,35.0,18.0,39.0,36.0,mcts,mcts,mcts,3,random,3,4,4,1,1,2,mcts,2,mcts,mcts,mcts,random,mcts,mcts,3
889189530,SushiGo,3,GAME_OVER,97,0,4,181,random,47.0,34.0,37.0,24.0,GroupZOSLAPlayer,GroupZOSLAPlayer,random,1,random,1,3,3,2,2,4,GroupZOSLAPlayer,4,GroupZOSLAPlayer,random,GroupZOSLAPlayer,random,random,GroupZOSLAPlayer,1
475198297,SushiGo,3,GAME_OVER,101,0,4,182,mcts,30.0,40.0,19.0,23.0,GroupZOSLAPlayer,GroupZOSLAPlayer,GroupZOSLAPlayer,2,mcts,2,1,1,4,4,3,GroupZOSLAPlayer,3,GroupZOSLAPlayer,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,0
-531925169,SushiGo,3,GAME_OVER,100,0,4,183,random,53.0,22.0,37.0,25.0,mcts,random,random,1,random,1,4,4,2,2,3,mcts,3,random,random,mcts,random,random,random,1
-1959144122,SushiGo,3,GAME_OVER,100,0,4,184,mcts,25.0,40.0,25.0,63.0,GroupZOSLAPlayer,mcts,random,4,mcts,4,2,2,3,3,1,GroupZOSLAPlayer,1,mcts,random,GroupZOSLAPlayer,mcts,random,mcts,2
1042214707,SushiGo,3,GAME_OVER,99,0,4,185,mcts,30.0,43.0,44.0,17.0,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,3,mcts,3,2,2,1,1,4,GroupZOSLAPlayer,4,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,mcts,mcts,GroupZOSLAPlayer,3
2131848898,SushiGo,3,GAME_OVER,100,0,4,186,random,49.0,29.0,53.0,20.0,mcts,random,mcts,2,random,2,3,3,1,1,4,mcts,4,random,mcts,mcts,random,mcts,random,3
1491837140,SushiGo,3,GAME_OVER,97,0,4,187,GroupZOSLAPlayer,26.0,29.0,30.0,19.0,GroupZOSLAPlayer,random,random,3,GroupZOSLAPlayer,3,2,2,1,1,4,GroupZOSLAPlayer,4,random,random,GroupZOSLAPlayer,GroupZOSLAPlayer,random,random,3
184290847,SushiGo,3,GAME_OVER,99,0,4,188,mcts,26.0,48.0,80.0,12.0,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,3,mcts,3,2,2,1,1,4,GroupZOSLAPlayer,4,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,mcts,mcts,GroupZOSLAPlayer,3
1911499045,SushiGo,3,GAME_OVER,99,0,4,189,GroupZOSLAPlayer,19.0,23.0,60.0,25.0,random,random,mcts,4,GroupZOSLAPlayer,4,3,3,1,1,2,random,2,random,mcts,random,GroupZOSLAPlayer,mcts,random,3
